Designator,Mid X,Mid Y,Rotation,Layer
R137,75.35,-65.55,270.0,bottom
R138,30.9,-59.3,180.0,bottom
R139,16.525,-53.2,180.0,bottom
R14,2.9,-21.9,0.0,bottom
R140,63.55,-95.5,0.0,bottom
R141,71.5,-98.3,90.0,bottom
R142,60.0,-98.3,90.0,bottom
R143,48.5,-98.3,90.0,bottom
R144,37.0,-98.3,90.0,bottom
R145,25.5,-98.3,90.0,bottom
R146,14.0,-98.3,90.0,bottom
R147,2.5,-98.3,90.0,bottom
R148,52.05,-95.5,0.0,bottom
R149,52.05,-94.0,180.0,bottom
R15,24.4,-23.3,180.0,bottom
R150,40.55,-95.5,0.0,bottom
R151,40.55,-94.0,180.0,bottom
R152,29.05,-95.5,0.0,bottom
R153,29.05,-94.0,180.0,bottom
R154,17.55,-95.5,0.0,bottom
R155,17.55,-94.0,180.0,bottom
R156,6.05,-95.5,0.0,bottom
R157,6.05,-94.0,180.0,bottom
R158,66.65,-73.2,270.0,bottom
R159,65.3,-28.4,0.0,bottom
R16,21.2,-23.3,0.0,bottom
R161,36.6,-49.1,180.0,bottom
R162,41.5,-77.139376,45.0,bottom
R163,46.2,-79.35,270.0,bottom
R17,9.2,-14.0,180.0,bottom
R18,9.2,-6.0,180.0,bottom
R19,18.8,-6.0,0.0,bottom
R2,72.4,-73.25,270.0,bottom
R20,18.7,-14.0,0.0,bottom
R21,58.7,-23.1,180.0,bottom
R22,55.6,-23.1,0.0,bottom
R23,76.2,-21.0,180.0,bottom
R24,73.5,-23.0,0.0,bottom
R25,61.25,-14.0,180.0,bottom
R26,61.25,-6.0,180.0,bottom
R27,70.75,-6.0,0.0,bottom
R28,70.75,-14.0,0.0,bottom
R29,45.25,-9.0,180.0,bottom
R3,43.6,-79.35,90.0,bottom
R30,44.8,-17.0,180.0,bottom
R31,35.2,-17.0,0.0,bottom
R32,34.75,-9.0,0.0,bottom
R33,21.0,-21.8,180.0,bottom
R34,21.2,-24.8,180.0,bottom
R35,5.7,-21.2,0.0,bottom
R36,5.7,-22.7,0.0,bottom
R37,73.2,-24.4,180.0,bottom
R38,73.2,-21.6,180.0,bottom
R39,58.8,-24.5,0.0,bottom
R4,7.7,-75.9,0.0,bottom
R40,58.8,-21.6,0.0,bottom
R42,2.3,-42.1,270.0,bottom
R43,8.3,-42.1,270.0,bottom
R44,26.2,-42.1,270.0,bottom
R45,55.3,-42.1,270.0,bottom
R46,73.2,-42.1,270.0,bottom
R47,53.8,-51.9,90.0,bottom
R48,71.7,-51.9,90.0,bottom
R49,24.7,-51.9,90.0,bottom
R5,45.7,-5.2,0.0,bottom
R50,6.8,-51.9,90.0,bottom
R51,6.05,-92.5,180.0,bottom
R52,17.55,-92.5,180.0,bottom
R53,29.05,-92.5,180.0,bottom
R54,40.55,-92.5,180.0,bottom
R55,52.05,-92.5,180.0,bottom
R56,63.55,-92.5,180.0,bottom
R57,74.5,-98.3,270.0,bottom
R58,63.0,-98.3,270.0,bottom
R59,51.5,-98.3,270.0,bottom
R6,33.1,-21.2,270.0,bottom
R60,40.0,-98.3,270.0,bottom
R61,28.5,-98.3,270.0,bottom
R62,17.0,-98.3,270.0,bottom
R63,5.5,-98.3,270.0,bottom
R64,20.2,-42.1,270.0,bottom
R65,49.3,-42.1,270.0,bottom
R66,67.2,-42.1,270.0,bottom
R67,59.8,-51.9,90.0,bottom
R68,77.7,-51.9,90.0,bottom
R69,30.7,-51.9,90.0,bottom
R7,31.4,-21.4,270.0,bottom
R70,12.8,-51.9,90.0,bottom
R71,6.05,-89.5,0.0,bottom
R72,17.55,-89.5,0.0,bottom
R73,29.05,-89.5,0.0,bottom
R74,40.55,-89.5,0.0,bottom
R75,52.05,-89.5,0.0,bottom
R76,63.55,-89.5,0.0,bottom
R77,77.5,-98.3,90.0,bottom
R78,66.0,-98.3,90.0,bottom
R79,54.5,-98.3,90.0,bottom
R8,46.9,-21.2,270.0,bottom
R80,43.0,-98.3,90.0,bottom
R81,31.5,-98.3,90.0,bottom
R82,20.0,-98.3,90.0,bottom
R83,8.5,-98.3,90.0,bottom
R84,5.3,-42.1,90.0,bottom
R85,11.3,-42.1,90.0,bottom
R86,9.8,-42.1,90.0,bottom
R87,6.8,-42.1,270.0,bottom
R88,4.5,-29.3,180.0,bottom
R89,29.2,-42.1,90.0,bottom
R9,48.5,-21.4,270.0,bottom
R90,24.5,-28.3,270.0,bottom
R91,27.7,-42.1,90.0,bottom
R92,24.7,-42.1,270.0,bottom
R93,23.2,-42.1,90.0,bottom
R94,58.3,-42.1,90.0,bottom
R95,54.1,-27.2,270.0,bottom
R96,56.8,-42.1,90.0,bottom
R97,53.8,-42.1,270.0,bottom
R98,52.3,-42.1,90.0,bottom
R99,76.2,-42.1,90.0,bottom
RV1,45.25,-7.0,180.0,bottom
RV10,61.25,-4.0,0.0,bottom
RV11,70.75,-4.0,180.0,bottom
RV12,70.75,-16.0,180.0,bottom
RV2,44.8,-19.0,180.0,bottom
RV3,35.2,-19.0,0.0,bottom
RV4,34.75,-7.0,0.0,bottom
RV5,9.2,-16.0,0.0,bottom
RV6,9.2,-4.0,0.0,bottom
RV7,18.8,-4.0,180.0,bottom
RV8,18.7,-16.0,180.0,bottom
RV9,61.25,-16.0,0.0,bottom
SW1,11.25,-92.5,90.0,top
SW10,40.0,-103.5,0.0,top
SW11,51.5,-103.5,0.0,top
SW12,63.0,-103.5,0.0,top
SW13,74.5,-103.5,0.0,top
SW14,40.0,-38.0,90.0,top
SW15,40.0,-56.0,270.0,top
SW2,22.75,-92.5,90.0,top
SW3,34.25,-92.5,90.0,top
SW4,45.75,-92.5,90.0,top
SW5,57.25,-92.5,90.0,top
SW6,68.75,-92.5,90.0,top
SW7,5.5,-103.5,0.0,top
SW8,17.0,-103.5,0.0,top
SW9,28.5,-103.5,0.0,top
U1,7.5,-38.3,0.0,top
U10,25.5,-38.0,180.0,bottom
U11,54.5,-38.0,180.0,bottom
U12,72.5,-38.0,180.0,bottom
U13,7.5,-56.0,0.0,bottom
U14,25.5,-56.0,0.0,bottom
U15,72.5,-56.0,0.0,bottom
U16,54.5,-56.0,0.0,bottom
U17,11.25,-92.5,0.0,bottom
U18,22.75,-92.5,0.0,bottom
U19,34.25,-92.5,0.0,bottom
U2,25.5,-38.3,0.0,top
U20,45.75,-92.5,0.0,bottom
U21,57.25,-92.5,0.0,bottom
U22,68.75,-92.5,0.0,bottom
U23,5.5,-103.5,90.0,bottom
U24,17.0,-103.5,90.0,bottom
U25,28.5,-103.5,90.0,bottom
U26,40.0,-103.5,90.0,bottom
U27,51.5,-103.5,90.0,bottom
U28,63.0,-103.5,90.0,bottom
U29,74.5,-103.5,90.0,bottom
U3,54.5,-38.3,0.0,top
U30,40.0,-55.8,270.0,bottom
U31,40.0,-42.4,270.0,bottom
U32,42.5,-71.5,315.0,bottom
U33,40.0,-26.5,90.0,bottom
U34,14.0,-23.5,270.0,bottom
U35,66.0,-23.5,270.0,bottom
U36,57.5,-76.0,45.0,bottom
U37,68.45,-78.8,225.0,bottom
U38,40.0,-13.0,270.0,bottom
U39,14.0,-10.0,90.0,bottom
U4,72.5,-38.3,0.0,top
U40,66.0,-10.0,90.0,bottom
U41,33.6,-82.8,0.0,bottom
U5,7.5,-55.7,180.0,top
U6,25.5,-55.7,180.0,top
U7,72.5,-55.7,180.0,top
U8,54.5,-55.7,180.0,top
U9,7.5,-38.0,180.0,bottom
VR1,40.0,-76.0,180.0,top
Y1,51.65,-81.7,0.0,bottom
Z1,40.0,-85.4,0.0,top
